image,folder,x1,y1,x2,y2
image_0.jpg,bottles_closeups,2037,2836,2060,2856
image_0.jpg,bottles_closeups,2056,2941,2078,2958
image_0.jpg,bottles_closeups,2028,2782,2051,2800
image_0.jpg,bottles_closeups,2194,3155,2221,3176
image_0.jpg,bottles_closeups,363,2185,438,2252
image_0.jpg,bottles_closeups,2375,3368,2972,4000
image_0.jpg,bottles_closeups,327,693,379,746
image_0.jpg,bottles_closeups,791,3696,926,3914
image_0.jpg,bottles_closeups,2044,2890,2071,2909
image_0.jpg,bottles_closeups,2839,452,2913,520
image_0.jpg,bottles_closeups,2048,2539,2067,2564
image_0.jpg,bottles_closeups,2060,2617,2081,2632
image_0.jpg,bottles_closeups,1777,539,1833,595
image_0.jpg,bottles_closeups,2151,2934,2176,2953
image_0.jpg,bottles_closeups,2943,350,3000,446
image_0.jpg,bottles_closeups,442,2240,470,2260
image_0.jpg,bottles_closeups,1092,3553,1779,4000
image_0.jpg,bottles_closeups,1560,2770,1581,2790
image_0.jpg,bottles_closeups,1129,3426,1316,3541
image_0.jpg,bottles_closeups,2391,2724,2432,2738
image_0.jpg,bottles_closeups,785,2705,821,2724
image_0.jpg,bottles_closeups,0,886,3000,3066
image_0.jpg,bottles_closeups,2174,3068,2206,3093
image_0.jpg,bottles_closeups,606,2257,652,2288
image_0.jpg,bottles_closeups,438,2158,472,2173
image_0.jpg,bottles_closeups,779,2642,845,2695
image_0.jpg,bottles_closeups,548,2240,597,2273
image_0.jpg,bottles_closeups,478,2236,538,2264
image_0.jpg,bottles_closeups,259,2257,285,2274
image_0.jpg,bottles_closeups,1999,2579,2252,3091
image_0.jpg,bottles_closeups,0,2956,798,3960
image_0.jpg,bottles_closeups,958,915,1816,1082
image_0.jpg,bottles_closeups,662,2270,701,2298
image_0.jpg,bottles_closeups,0,2637,155,2711
image_0.jpg,bottles_closeups,978,3150,1232,3484
image_0.jpg,bottles_closeups,2037,2865,2065,2883
image_0.jpg,bottles_closeups,2026,2803,2055,2829
image_0.jpg,bottles_closeups,1213,2846,1268,2892
image_0.jpg,bottles_closeups,1905,3299,2155,3658
image_0.jpg,bottles_closeups,1097,2851,1186,2861
image_0.jpg,bottles_closeups,835,2694,898,2731
image_0.jpg,bottles_closeups,1475,2742,1546,2780
image_0.jpg,bottles_closeups,127,2384,152,2408
image_0.jpg,bottles_closeups,797,2784,855,2846
image_0.jpg,bottles_closeups,2153,2674,3000,3318
image_0.jpg,bottles_closeups,2294,2846,2331,2866
image_0.jpg,bottles_closeups,0,0,2982,759
image_0.jpg,bottles_closeups,567,2390,621,2426
image_1.jpg,bottles_closeups,192,0,253,30
image_1.jpg,bottles_closeups,1750,323,1822,390
image_1.jpg,bottles_closeups,2202,0,2251,27
image_1.jpg,bottles_closeups,1901,327,1979,386
image_1.jpg,bottles_closeups,2767,3589,2817,3640
image_1.jpg,bottles_closeups,0,382,46,432
image_1.jpg,bottles_closeups,2684,0,2854,146
image_1.jpg,bottles_closeups,1918,62,2059,178
image_1.jpg,bottles_closeups,0,0,3000,4000
image_1.jpg,bottles_closeups,0,435,70,568
image_1.jpg,bottles_closeups,2540,2798,2577,2823
image_1.jpg,bottles_closeups,2071,291,2264,568
image_1.jpg,bottles_closeups,2272,477,2472,651
image_10.jpg,bottles_closeups,2812,487,2837,522
image_10.jpg,bottles_closeups,1342,3398,1444,3429
image_10.jpg,bottles_closeups,1634,3017,1687,3036
image_10.jpg,bottles_closeups,1818,3147,1950,3180
image_10.jpg,bottles_closeups,1046,3399,2011,3992
image_10.jpg,bottles_closeups,1872,1271,1909,1286
image_10.jpg,bottles_closeups,1775,1482,1815,1494
image_10.jpg,bottles_closeups,2010,3336,2028,3388
image_10.jpg,bottles_closeups,1144,3073,1184,3104
image_10.jpg,bottles_closeups,2010,3153,2037,3225
image_10.jpg,bottles_closeups,700,1227,967,1650
image_10.jpg,bottles_closeups,1042,3303,1096,3401
image_10.jpg,bottles_closeups,40,40,2998,3175
image_10.jpg,bottles_closeups,1020,3088,1129,3263
image_11.jpg,bottles_closeups,1061,2652,1068,2704
image_11.jpg,bottles_closeups,1193,0,3024,1916
image_11.jpg,bottles_closeups,849,819,1762,2568
image_11.jpg,bottles_closeups,861,2827,920,2926
image_11.jpg,bottles_closeups,868,3004,1612,3354
image_11.jpg,bottles_closeups,1002,2937,1174,3022
image_11.jpg,bottles_closeups,851,2658,973,2778
image_11.jpg,bottles_closeups,1410,2872,1503,2881
image_11.jpg,bottles_closeups,338,122,348,184
image_11.jpg,bottles_closeups,1071,2737,1172,2800
image_11.jpg,bottles_closeups,1088,2549,1206,2567
image_11.jpg,bottles_closeups,1584,2866,1630,2927
image_12.jpg,bottles_closeups,994,2853,1012,2873
image_12.jpg,bottles_closeups,2632,1978,2656,1992
image_12.jpg,bottles_closeups,2852,1583,2913,1665
image_12.jpg,bottles_closeups,1125,2720,1430,3370
image_12.jpg,bottles_closeups,2047,2042,3024,4032
image_12.jpg,bottles_closeups,40,1195,193,1334
image_12.jpg,bottles_closeups,1855,3072,1889,3154
image_12.jpg,bottles_closeups,822,2705,900,2740
image_12.jpg,bottles_closeups,390,1279,2060,2759
image_12.jpg,bottles_closeups,40,2821,345,3522
image_12.jpg,bottles_closeups,1046,2731,1099,2758
image_12.jpg,bottles_closeups,2800,1933,2853,1960
image_12.jpg,bottles_closeups,2697,1987,2740,2008
image_12.jpg,bottles_closeups,2859,2067,2901,2116
image_13.jpg,bottles_closeups,2228,2741,2245,2761
image_13.jpg,bottles_closeups,1084,3576,1138,3627
image_13.jpg,bottles_closeups,1888,3587,1916,3624
image_13.jpg,bottles_closeups,554,2116,706,2237
image_13.jpg,bottles_closeups,1425,3722,1462,3754
image_13.jpg,bottles_closeups,791,1540,1894,3439
image_13.jpg,bottles_closeups,1060,3848,1094,3877
image_13.jpg,bottles_closeups,1196,1244,1239,1269
image_13.jpg,bottles_closeups,1034,3898,1070,3922
image_13.jpg,bottles_closeups,1268,3918,1288,3936
image_13.jpg,bottles_closeups,1079,3672,1116,3695
image_13.jpg,bottles_closeups,805,32,1838,1147
image_13.jpg,bottles_closeups,1066,3752,1163,3793
image_13.jpg,bottles_closeups,1657,1326,1842,1414
image_13.jpg,bottles_closeups,1178,3497,1297,3547
